// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 6 benchmark(s) in total *****
// ***** Building 6 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:36 (36.22 sec)   *****
// Found 6 benchmarks:
//   InterpolationBenchmark.Interpolation: .NET 5.0(Runtime=.NET 5.0)
//   InterpolationBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
//   InterpolationBenchmark.Interpolation: .NET 7.0(Runtime=.NET 7.0)
//   InterpolationBenchmark.Interpolation: .NET 8.0(Runtime=.NET 8.0)
//   InterpolationBenchmark.Interpolation: .NET Core 3.1(Runtime=.NET Core 3.1)
//   InterpolationBenchmark.Interpolation: .NET Framework 4.8.1(Runtime=.NET Framework 4.8.1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: InterpolationBenchmark.Interpolation: .NET 5.0(Runtime=.NET 5.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet ebb49315-7dc1-4daa-b248-def2ed75d2fb.dll --anonymousPipes 5724 3580 --benchmarkName Penguin.InterpolationBenchmark.Interpolation --job ".NET 5.0" --benchmarkId 0 in C:\src\DotNetBenchmarkExamples\bin\Release\net8.0\ebb49315-7dc1-4daa-b248-def2ed75d2fb\bin\Release\net5.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 5.0.17 (5.0.1722.21314), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT VectorSize=256
// Job: .NET 5.0

OverheadJitting  1: 1 op, 209800.00 ns, 209.8000 us/op
WorkloadJitting  1: 1 op, 240000.00 ns, 240.0000 us/op

OverheadJitting  2: 16 op, 372900.00 ns, 23.3062 us/op
WorkloadJitting  2: 16 op, 358100.00 ns, 22.3813 us/op

WorkloadPilot    1: 16 op, 2800.00 ns, 175.0000 ns/op
WorkloadPilot    2: 32 op, 3000.00 ns, 93.7500 ns/op
WorkloadPilot    3: 64 op, 4600.00 ns, 71.8750 ns/op
WorkloadPilot    4: 128 op, 8100.00 ns, 63.2812 ns/op
WorkloadPilot    5: 256 op, 16100.00 ns, 62.8906 ns/op
WorkloadPilot    6: 512 op, 30800.00 ns, 60.1563 ns/op
WorkloadPilot    7: 1024 op, 58700.00 ns, 57.3242 ns/op
WorkloadPilot    8: 2048 op, 159500.00 ns, 77.8809 ns/op
WorkloadPilot    9: 4096 op, 330800.00 ns, 80.7617 ns/op
WorkloadPilot   10: 8192 op, 623200.00 ns, 76.0742 ns/op
WorkloadPilot   11: 16384 op, 1271900.00 ns, 77.6306 ns/op
WorkloadPilot   12: 32768 op, 2685100.00 ns, 81.9427 ns/op
WorkloadPilot   13: 65536 op, 4384900.00 ns, 66.9083 ns/op
WorkloadPilot   14: 131072 op, 7702700.00 ns, 58.7669 ns/op
WorkloadPilot   15: 262144 op, 16438700.00 ns, 62.7087 ns/op
WorkloadPilot   16: 524288 op, 33277200.00 ns, 63.4712 ns/op
WorkloadPilot   17: 1048576 op, 64089900.00 ns, 61.1209 ns/op
WorkloadPilot   18: 2097152 op, 109948500.00 ns, 52.4275 ns/op
WorkloadPilot   19: 4194304 op, 213493500.00 ns, 50.9008 ns/op
WorkloadPilot   20: 8388608 op, 419714800.00 ns, 50.0339 ns/op
WorkloadPilot   21: 16777216 op, 840178000.00 ns, 50.0785 ns/op

OverheadWarmup   1: 16777216 op, 49898400.00 ns, 2.9742 ns/op
OverheadWarmup   2: 16777216 op, 51314700.00 ns, 3.0586 ns/op
OverheadWarmup   3: 16777216 op, 51070800.00 ns, 3.0441 ns/op
