// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 3 benchmark(s) in total *****
// ***** Building 3 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:07 (7.97 sec)   *****
// Found 3 benchmarks:
//   SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 7.0(Runtime=.NET 7.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 8.0(Runtime=.NET 8.0)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet 7acd060d-bd5f-427a-9d48-86efa2ab3943.dll --anonymousPipes 1988 1756 --benchmarkName SparksAndFrameworksBenchmark.Interpolation --job ".NET 6.0" --benchmarkId 0 in C:\src\DotNetBenchmarkExamples\bin\Release\net8.0\7acd060d-bd5f-427a-9d48-86efa2ab3943\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 6.0.25 (6.0.2523.51912), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni VectorSize=256
// Job: .NET 6.0

OverheadJitting  1: 1 op, 255000.00 ns, 255.0000 us/op
WorkloadJitting  1: 1 op, 266000.00 ns, 266.0000 us/op

OverheadJitting  2: 16 op, 376500.00 ns, 23.5312 us/op
WorkloadJitting  2: 16 op, 359200.00 ns, 22.4500 us/op

WorkloadPilot    1: 16 op, 5200.00 ns, 325.0000 ns/op
WorkloadPilot    2: 32 op, 6000.00 ns, 187.5000 ns/op
WorkloadPilot    3: 64 op, 11800.00 ns, 184.3750 ns/op
WorkloadPilot    4: 128 op, 12500.00 ns, 97.6562 ns/op
WorkloadPilot    5: 256 op, 30900.00 ns, 120.7031 ns/op
WorkloadPilot    6: 512 op, 46100.00 ns, 90.0391 ns/op
WorkloadPilot    7: 1024 op, 91100.00 ns, 88.9648 ns/op
WorkloadPilot    8: 2048 op, 179000.00 ns, 87.4023 ns/op
WorkloadPilot    9: 4096 op, 353900.00 ns, 86.4014 ns/op
WorkloadPilot   10: 8192 op, 781100.00 ns, 95.3491 ns/op
WorkloadPilot   11: 16384 op, 1576600.00 ns, 96.2280 ns/op
WorkloadPilot   12: 32768 op, 3225300.00 ns, 98.4283 ns/op
WorkloadPilot   13: 65536 op, 7333700.00 ns, 111.9034 ns/op
WorkloadPilot   14: 131072 op, 12664300.00 ns, 96.6209 ns/op
WorkloadPilot   15: 262144 op, 23894100.00 ns, 91.1488 ns/op
WorkloadPilot   16: 524288 op, 56356700.00 ns, 107.4919 ns/op
WorkloadPilot   17: 1048576 op, 68847700.00 ns, 65.6583 ns/op
WorkloadPilot   18: 2097152 op, 113282500.00 ns, 54.0173 ns/op
WorkloadPilot   19: 4194304 op, 219318200.00 ns, 52.2895 ns/op
WorkloadPilot   20: 8388608 op, 448830400.00 ns, 53.5048 ns/op
WorkloadPilot   21: 16777216 op, 888864700.00 ns, 52.9805 ns/op

OverheadWarmup   1: 16777216 op, 49433500.00 ns, 2.9465 ns/op
OverheadWarmup   2: 16777216 op, 50684300.00 ns, 3.0210 ns/op
OverheadWarmup   3: 16777216 op, 50688400.00 ns, 3.0213 ns/op
OverheadWarmup   4: 16777216 op, 53649000.00 ns, 3.1977 ns/op
OverheadWarmup   5: 16777216 op, 49722800.00 ns, 2.9637 ns/op
OverheadWarmup   6: 16777216 op, 46548000.00 ns, 2.7745 ns/op
OverheadWarmup   7: 16777216 op, 44210500.00 ns, 2.6352 ns/op
OverheadWarmup   8: 16777216 op, 42015600.00 ns, 2.5043 ns/op
OverheadWarmup   9: 16777216 op, 44033400.00 ns, 2.6246 ns/op
OverheadWarmup  10: 16777216 op, 41160800.00 ns, 2.4534 ns/op

OverheadActual   1: 16777216 op, 42378400.00 ns, 2.5259 ns/op
OverheadActual   2: 16777216 op, 42434700.00 ns, 2.5293 ns/op
OverheadActual   3: 16777216 op, 41772000.00 ns, 2.4898 ns/op
OverheadActual   4: 16777216 op, 46597700.00 ns, 2.7774 ns/op
OverheadActual   5: 16777216 op, 42643500.00 ns, 2.5418 ns/op
OverheadActual   6: 16777216 op, 41431800.00 ns, 2.4695 ns/op
OverheadActual   7: 16777216 op, 43521000.00 ns, 2.5941 ns/op
OverheadActual   8: 16777216 op, 41749800.00 ns, 2.4885 ns/op
OverheadActual   9: 16777216 op, 41542100.00 ns, 2.4761 ns/op
OverheadActual  10: 16777216 op, 42331800.00 ns, 2.5232 ns/op
OverheadActual  11: 16777216 op, 43864300.00 ns, 2.6145 ns/op
OverheadActual  12: 16777216 op, 41322800.00 ns, 2.4630 ns/op
OverheadActual  13: 16777216 op, 42186300.00 ns, 2.5145 ns/op
OverheadActual  14: 16777216 op, 42143900.00 ns, 2.5120 ns/op
OverheadActual  15: 16777216 op, 42002600.00 ns, 2.5036 ns/op

WorkloadWarmup   1: 16777216 op, 806939300.00 ns, 48.0973 ns/op
WorkloadWarmup   2: 16777216 op, 806046000.00 ns, 48.0441 ns/op
WorkloadWarmup   3: 16777216 op, 815500400.00 ns, 48.6076 ns/op
WorkloadWarmup   4: 16777216 op, 819015500.00 ns, 48.8171 ns/op
WorkloadWarmup   5: 16777216 op, 805906300.00 ns, 48.0358 ns/op
WorkloadWarmup   6: 16777216 op, 844252900.00 ns, 50.3214 ns/op
WorkloadWarmup   7: 16777216 op, 883694500.00 ns, 52.6723 ns/op
WorkloadWarmup   8: 16777216 op, 841678500.00 ns, 50.1679 ns/op

// BeforeActualRun
