// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 4 benchmark(s) in total *****
// ***** Building 4 exe(s) in Parallel: Start   *****
// ***** Done, took 00:00:21 (21.29 sec)   *****
// ***** Failed to build in Parallel, switching to sequential build   *****
// ***** Done, took 00:00:10 (10.41 sec)   *****
// Found 4 benchmarks:
//   SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 7.0(Runtime=.NET 7.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET 8.0(Runtime=.NET 8.0)
//   SparksAndFrameworksBenchmark.Interpolation: .NET Framework 4.8.1(Runtime=.NET Framework 4.8.1)

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: SparksAndFrameworksBenchmark.Interpolation: .NET 6.0(Runtime=.NET 6.0)
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f0e28920-4120-43f3-ad25-74bf5840ab51.dll --anonymousPipes 1692 1680 --benchmarkName SparksAndFrameworksBenchmark.Interpolation --job ".NET 6.0" --benchmarkId 0 in C:\src\DotNetBenchmarkExamples\bin\Release\net8.0\f0e28920-4120-43f3-ad25-74bf5840ab51\bin\Release\net6.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.13.10
// Runtime=.NET 6.0.25 (6.0.2523.51912), X64 RyuJIT AVX2
// GC=Concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni VectorSize=256
// Job: .NET 6.0

OverheadJitting  1: 1 op, 279600.00 ns, 279.6000 us/op
WorkloadJitting  1: 1 op, 304400.00 ns, 304.4000 us/op

OverheadJitting  2: 16 op, 432900.00 ns, 27.0562 us/op
WorkloadJitting  2: 16 op, 384600.00 ns, 24.0375 us/op

WorkloadPilot    1: 16 op, 5000.00 ns, 312.5000 ns/op
WorkloadPilot    2: 32 op, 11200.00 ns, 350.0000 ns/op
WorkloadPilot    3: 64 op, 11100.00 ns, 173.4375 ns/op
WorkloadPilot    4: 128 op, 19200.00 ns, 150.0000 ns/op
WorkloadPilot    5: 256 op, 32600.00 ns, 127.3438 ns/op
WorkloadPilot    6: 512 op, 61400.00 ns, 119.9219 ns/op
WorkloadPilot    7: 1024 op, 119300.00 ns, 116.5039 ns/op
WorkloadPilot    8: 2048 op, 247000.00 ns, 120.6055 ns/op
WorkloadPilot    9: 4096 op, 472300.00 ns, 115.3076 ns/op
WorkloadPilot   10: 8192 op, 1084900.00 ns, 132.4341 ns/op
WorkloadPilot   11: 16384 op, 1658200.00 ns, 101.2085 ns/op
WorkloadPilot   12: 32768 op, 3673300.00 ns, 112.1002 ns/op
WorkloadPilot   13: 65536 op, 18825200.00 ns, 287.2498 ns/op
WorkloadPilot   14: 131072 op, 39730000.00 ns, 303.1158 ns/op
WorkloadPilot   15: 262144 op, 47535800.00 ns, 181.3347 ns/op
WorkloadPilot   16: 524288 op, 50225500.00 ns, 95.7975 ns/op
WorkloadPilot   17: 1048576 op, 81160000.00 ns, 77.4002 ns/op
WorkloadPilot   18: 2097152 op, 252520400.00 ns, 120.4111 ns/op
WorkloadPilot   19: 4194304 op, 437213800.00 ns, 104.2399 ns/op
WorkloadPilot   20: 8388608 op, 674112300.00 ns, 80.3604 ns/op

OverheadWarmup   1: 8388608 op, 25426900.00 ns, 3.0311 ns/op
OverheadWarmup   2: 8388608 op, 25042000.00 ns, 2.9852 ns/op
OverheadWarmup   3: 8388608 op, 24911000.00 ns, 2.9696 ns/op
OverheadWarmup   4: 8388608 op, 23933800.00 ns, 2.8531 ns/op
OverheadWarmup   5: 8388608 op, 25756400.00 ns, 3.0704 ns/op
OverheadWarmup   6: 8388608 op, 25167300.00 ns, 3.0002 ns/op
OverheadWarmup   7: 8388608 op, 25135500.00 ns, 2.9964 ns/op
OverheadWarmup   8: 8388608 op, 23395500.00 ns, 2.7890 ns/op
OverheadWarmup   9: 8388608 op, 23109200.00 ns, 2.7548 ns/op
OverheadWarmup  10: 8388608 op, 20497100.00 ns, 2.4434 ns/op

OverheadActual   1: 8388608 op, 19750200.00 ns, 2.3544 ns/op
OverheadActual   2: 8388608 op, 21800600.00 ns, 2.5988 ns/op
OverheadActual   3: 8388608 op, 22198100.00 ns, 2.6462 ns/op
OverheadActual   4: 8388608 op, 21177200.00 ns, 2.5245 ns/op
OverheadActual   5: 8388608 op, 67920100.00 ns, 8.0967 ns/op
OverheadActual   6: 8388608 op, 30769800.00 ns, 3.6680 ns/op
OverheadActual   7: 8388608 op, 31069900.00 ns, 3.7038 ns/op
OverheadActual   8: 8388608 op, 51173000.00 ns, 6.1003 ns/op
OverheadActual   9: 8388608 op, 24768100.00 ns, 2.9526 ns/op
OverheadActual  10: 8388608 op, 22712900.00 ns, 2.7076 ns/op
OverheadActual  11: 8388608 op, 23311600.00 ns, 2.7790 ns/op
OverheadActual  12: 8388608 op, 21558700.00 ns, 2.5700 ns/op
OverheadActual  13: 8388608 op, 22615000.00 ns, 2.6959 ns/op
OverheadActual  14: 8388608 op, 22912700.00 ns, 2.7314 ns/op
OverheadActual  15: 8388608 op, 23454800.00 ns, 2.7960 ns/op
OverheadActual  16: 8388608 op, 21584800.00 ns, 2.5731 ns/op
OverheadActual  17: 8388608 op, 21323200.00 ns, 2.5419 ns/op
OverheadActual  18: 8388608 op, 22717900.00 ns, 2.7082 ns/op
OverheadActual  19: 8388608 op, 34983400.00 ns, 4.1703 ns/op
OverheadActual  20: 8388608 op, 21496500.00 ns, 2.5626 ns/op

WorkloadWarmup   1: 8388608 op, 492677000.00 ns, 58.7317 ns/op
WorkloadWarmup   2: 8388608 op, 458691000.00 ns, 54.6802 ns/op
